file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-X-2012-P-D-B04-5-R-01_0069_794415_to_802718,ད་དུང་མེད་རྒྱོ་ཁ་ཤས་ཅིག་ཡོད་རཱ། ངའི་ཁ་ལག་དགའ་ཤོས་དེའི་མིང་ལ་འཇེ་མགོ་བཀྲ་ཤིས་ཟེར་གི་རཱ།  ,da dung med rgyo kha shas cig yod rA/_nga'i kha lag dga' shos de'i ming la 'je mgo bkra shis zer gi rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0069_794415_to_802718.wav,STT_CS,3,88,8.303,wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0069_794415_to_802718.wav,ད་དུང་མེ་རྒྱོ་ག་རེ་ྱས་སི་དུ་རཱ། ངའི་ཁ་ལག་དགའ་ཤོས་དེའི་མིང་ལ། ཇཱན་ཧྥོའི་ཁ་ཤས་ཟི་ཡིན་རཱ།
STT_CS-X-2012-P-D-B04-5-R-01_0070_814109_to_819441,ཨེ་ནས་བརྗེས་ཡོད་ས་མ་རེད། ངའི་ཨེ་ནི་མའེ་ཤོན་ལ་ཨེ་འདྲའི་མང་ཆེ་བ་ང་སླེབས་ཡ་རེད་འདུག་ག ཨེ་འདྲའི་འདྲ་བོ་བལྟ་གི་ཡོད་བ་རཱ།  ,e nas brjes yod sa ma red/_nga'i e ni ma'e shon la e 'dra'i mang che ba nga slebs ya red 'dug ga_e 'dra'i 'dra bo blta gi yod ba rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0070_814109_to_819441.wav,STT_CS,3,117,5.332,wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0070_814109_to_819441.wav,ཨ་ད་་ངའི་ཨ་ནི་མའེ་ཤོན་དང་ཨེ་འདྲའི་འདྲ་བོ་མང་ཆེ་བ་ང་ཌེ་མེན་སྀ་སླེབས་ཡ་དང་ཨེ་འདྲའི་འདྲ་བོ་བལྟ་ི་ཡོད་རཱ།
STT_CS-X-2012-P-D-B04-5-R-01_0071_839826_to_848196,ཨ་ནས་སྔན་མ་ཞིག་ང་ཚོའི་འཛིན་གྲྭ་འཛིན་གྲྭ་ཁྱིམ་ཚང་བརྒྱད་འདྲ་བོ་བྱེད་ཀི་ཡོད་བ། ཨ་ནས་ང་ཚོ་བཞི་བཅུ་ཞེ་གཅིག་ལ་འཁེལ་རེད་ཟེ། ཨ་ནས་དེ་ནང་བཞིན་ག་རེ་ལབ་དགོ་རེད།  ,a nas sngan ma zhig nga tsho'i 'dzin grwa 'dzin grwa khyim tshang brgyad 'dra bo byed ki yod ba/_a nas nga tsho bzhi bcu zhe gcig la 'khel red ze/_a nas de nang bzhin ga re lab dgo red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0071_839826_to_848196.wav,STT_CS,3,151,8.37,wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0071_839826_to_848196.wav,ཨེ་ནས་སྔོན་མ་བཞི་ང་ཚོ་འཛིན་གྲྭ་འཛིན་གྲྭ་ཁྱིམ་ཚང་དེ་འདྲ་བོ་བྱེད་དུས་ཡོད་བ། ཨ་ནས་ང་ཚོ་བཞིབ་ཞེ་གཅིག་ལ་ཁེར་རེད་ཟེར། ཨ་ནས་དེ་ནེཀསིཋྀ་ག་རེ་ལབ་དགོས་རེད།
STT_CS-X-2012-P-D-B04-5-R-01_0143_1401443_to_1405155,ང་མཚམས་མཚམས་ཉོབ་འདྲ་བོ་བྱས་ན་ང་རང་གྲོགས་པོ་མཉམ་དུ་སྡད་ཨེ་འདྲའི་འདྲ་བོ་བྱེད་ཀི་ཡོད་ད་ཡོད་བ།  ,nga mtshams mtshams nyob 'dra bo byas na nga rang grogs po mnyam du sdad e 'dra'i 'dra bo byed ki yod da yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0143_1401443_to_1405155.wav,STT_CS,3,92,3.712,wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0143_1401443_to_1405155.wav,ང་ང་མཚམས་མཚམས་ཉོབ་འདྲ་བོ་བྱས་ན་ ང་རང་གྲོགས་པོ་མཉམ་དུ་བསྡད་འདྲ་བོ་བྱེད་ཀྱི་ཡེད་ད་ཡོད་བ།
STT_CS-X-2012-P-D-B04-5-R-01_0144_1405999_to_1410184,ཨེ་ནས་གྲོགས་པོ་མཉམ་དུ་སྡད་འདྲ་བོ་བྱས་རཱ། ཨེ་ནས་སྐྱིད་པོ་དཔེ་བྱུང་གི་འདུག་ད་རཱ།  ,e nas grogs po mnyam du sdad 'dra bo byas rA/_e nas skyid po dpe byung gi 'dug da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0144_1405999_to_1410184.wav,STT_CS,3,80,4.185,wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0144_1405999_to_1410184.wav,ཨེ་ནས་གྲོགས་པོ་མཉམ་དུ་བསྡད་འདྲ་བོ་བྱས་རཱ། ཨེ་ནས་སྐྱིད་པོ་དཔེ་བྱུང་གི་འདུག་ད་རཱ།
STT_CS-X-2012-P-D-B04-5-R-01_0145_1410505_to_1413441,ཨ་ལས། ཨེ་ནས་ཐུགས་ཆེ་གནང་།  ,a las/_e nas thugs che gnang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0145_1410505_to_1413441.wav,STT_CS,3,27,2.936,wav16k/STT_CS-X-2012-P-D-B04-5-R-01_0145_1410505_to_1413441.wav,ཨ་ྗ། ཨ། ཨེ་ནས་ཐུགས་ཆེ་གནང་།
STT_TT00130_00762.100-00765.950,བྱས་ཙང་ཁོ་རྒྱུན་གི་ཆ་ནས་ག་རེ་ཆགས་བསྡད་ཡོད་ཟེར་ན། རྟག་པར་བློ་འཛིན་བྱས་ནས་ཨོ་ལྟ་འདི་བཤད་བསྡད་ཀི་ཡོད་རེད་བ།  ,byas tsang kho rgyun gi cha nas ga re chags bsdad yod zer na/_rtag par blo 'dzin byas nas o lta 'di bshad bsdad ki yod red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00130_00762.100-00765.950.wav,STT_TT,3,106,3.850000000000023,wav16k/STT_TT00130_00762.100-00765.950.wav,བྱས་ཙང་ཁོ་རྒྱུན་གི་ཆ་ནས་ག་རེ་ཆགས་བསྡད་ཡོད་རེད་ཟེར་ན། རྟག་པ་རང་རིན་བྱས་ནས། ཨོ་ལྟ་འདི་བཤད་བསྡད་ཀི་ཡོད་རེད་བ།
STT_TT00130_00766.100-00767.450,དོན་གི་ཆ་ནས་རྟག་པ་རང་རེད་ཟེར།  ,don gi cha nas rtag pa rang red zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00130_00766.100-00767.450.wav,STT_TT,3,31,1.3500000000000227,wav16k/STT_TT00130_00766.100-00767.450.wav,མདུན་གི་ཆ་ནས་རྟག་པ་རང་རེད་ཟེད།
STT_TT00130_00768.050-00770.450,བྱང་ཆུབ་སེམས་ཀི་ལྗོན་ཤིང་རྟག་པར་ཡང་། འབྲས་བུ་འབྱིན་བས་མི་ཟད་འཕེལ་བར་འགྱུར།  ,byang chub sems ki ljon shing rtag par yang /_'bras bu 'byin bas mi zad 'phel bar 'gyur/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00130_00768.050-00770.450.wav,STT_TT,3,76,2.400000000000091,wav16k/STT_TT00130_00768.050-00770.450.wav,བྱང་ཆུབ་སེམས་ཀྱི་ལྗོན་ཤིང་རྟག་པར་ཡང་། འབྲས་བུ་སྦྱིན་པས་མི་ཟད་འཕེལ་བར་གྱུར།
STT_TT00130_00771.050-00771.900,ད་གལ་ཆེན་པོ་རེད་འདུག་བ།  ,da gal chen po red 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00130_00771.050-00771.900.wav,STT_TT,3,25,0.8500000000000227,wav16k/STT_TT00130_00771.050-00771.900.wav,ད་གལ་ཆེན་པོ་རེད་འདུག་ག།
